"","wt_nt.1","wt_nt.2","wt_cpr.1","wt_cpr.2","fur_nt.1","fur_nt.2","fur_cpr.1","fur_cpr.2"
"yfaS",10.2337425258776,10.2912361649404,9.67069270915203,9.59261971004704,10.4014718753163,10.4355912740901,8.96400573246716,9.43536466338952
"ylcG",8.55073476680711,8.43131676650125,8.69657320632936,8.16017768784845,9.02235914579612,9.44516541291355,6.53159605113649,8.07070137310741
"ybdZ",10.3797977368125,10.7103812631134,10.4393082159043,10.3346991488058,12.2135075351067,12.3699744198677,12.1886679206258,12.2971303234087
"yciX",9.69868434398985,9.65702055989988,10.3599868394476,10.046532974354,9.39619669340006,9.58497748884535,8.80699647889132,8.98245091694724
"yoeF",9.99096607925196,10.1091736228178,9.20521358187561,9.18886837553501,10.1799949515551,10.1948061937417,8.66554689065697,9.27291404142161
"arnE",9.28163305851781,9.77277360741023,9.06387950397252,8.13761559478306,9.37721488356334,9.83198672054637,6.5017874522155,8.05994704605408
"ysaB",10.9640183755978,10.8553843125346,10.0551820599146,9.78716187535803,11.0094407776379,11.0038240888576,9.59174833962735,9.90951110004032
"ghoT",10.0803554977603,9.90897578202217,10.969114417086,11.0503201774162,9.96712651296544,9.94507342300087,10.1027024202806,11.2334034164472
"insM",9.90443988943869,9.97155019972973,9.34803882789776,9.27877973433239,9.6366146353753,9.67054849828415,8.07801132681957,8.82387484701866
"gatR",10.5574788615297,10.7232276750109,10.3480029015649,10.1325802430572,10.7239749635799,10.762309284316,9.24100034945323,9.7673516826336
"yifN",11.2980031228806,11.4737501213211,10.3504276156406,10.2274829000437,11.1000615393432,11.2106505817335,10.1975765202189,10.5149525942231
"yigE",10.2250530060991,10.8445105976397,9.74234161667947,9.55962671875291,10.3681527690499,10.8086104230217,8.3804475408027,9.47914237912594
"sraG",10.4859348862876,10.6842588553378,9.49596734916556,9.32929807179885,10.625665423678,10.6727374776356,8.55897497216679,9.49522823992215
"yggP",10.2343398303274,10.0551206895125,9.27322325473122,9.24197570632703,10.1725798662266,10.2228451482226,8.34094886457864,9.12782509677617
"glmY",11.2571175234089,11.5574540444204,12.8564572967996,12.6260923002511,11.8994029509671,10.850085489658,12.4248554551261,12.5588531468171
"yedN",9.26903596789844,9.2568429832891,8.80051393586786,7.95247534420268,9.55091867722537,9.50716840266296,6.78461875694378,8.72320381873727
"ygeN",9.73264631593427,9.10156054775929,8.7343781418545,8.03328376679743,9.46342443797651,9.12152978926375,7.77401653912462,8.99049850484818
"smf",10.5111318412089,10.5034499882501,9.78155833065958,9.58605230483082,10.5425603592649,10.5027044077961,9.01978242660059,9.29805540813449
"yehH",9.66263696804622,10.2272951903062,9.41927852680147,9.2493613375063,10.3515060275134,10.515525154235,8.99651505808795,9.21219557627397
"rdlD",8.04196327625318,9.30843230765652,8.31343577367219,8.14961946993526,8.67080713969788,9.08283167197956,5.74701214482875,7.24718170131123
"hokA",8.73840469178379,8.90826817531287,7.20698381598176,6.33721739234015,9.13666275530692,9.1045874613506,4.97529110719605,7.1661317023412
"gapC",10.3591263721007,10.178971051251,11.2764082268555,11.3046149497335,10.7964553158241,10.428345826635,11.0783475363155,11.3394889116031
"cysW",7.70832350847685,9.14456035480049,8.25052549186678,7.87022741014817,8.64877819085401,9.12354550454777,6.81994864371493,7.38305032332019
"ghxQ",10.6447637597594,10.6714808101921,9.85000791480992,9.6475595755783,10.8238280835718,10.9754960979011,9.7870214568279,9.71338191847823
"sraB",11.4259993724504,11.1748769832334,12.781525343394,12.760762672802,11.6538925014158,11.4708722261323,12.3172087591607,12.6989165815994
"gntU",9.96370202702562,10.2807258959902,9.16143897681803,9.35355017583695,10.0285533856915,10.3328047730997,8.98838504031642,8.90276671405864
"dgoD",11.1256626179695,11.4337002012894,10.2435398460606,10.270766189229,10.799306690833,10.9052676592235,10.0935553022835,10.459705340157
"yeiW",9.32588597769176,9.8542477821861,9.46959409046036,8.92519795014791,9.94525474110307,10.1342001526487,8.04715102282062,8.24437282371071
"yhcE",10.6013043972826,11.1374898272831,10.0950884225902,9.87167373598784,10.7478140692632,11.0480198307324,9.67427187126216,9.95308906023829
"yehK",8.00113216378109,8.86687003977566,7.82646055074992,6.49381121971661,8.79214779180517,8.88377926219157,5.54818366952521,6.90685303722566
