"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0009432","SOS response","19/1136","22/2754",1.5959700854427e-05,0.0128156397861049,0.012465366351563,"sulA/dinI/recN/ruvA/dinG/recA/yebG/umuD/cho/polB/ruvB/rimK/dinB/umuC/lexA/recX/dinD/uvrD/ssb",19
"BP","GO:0045184","establishment of protein localization","27/1136","37/2754",8.39011727912423e-05,0.0304273218357966,0.0295956908988151,"napD/ffh/secA/secD/bamE/gspJ/gspI/gspF/gspE/lolA/tatC/bamB/tatE/tolA/tatB/secE/ftsY/secY/yhjG/yidC/secG/asmA/hofC/tatA/bamA/csgE/skp",27
"BP","GO:0006886","intracellular protein transport","12/1136","13/2754",0.000189470161662425,0.0304273218357966,0.0295956908988151,"ffh/secA/tatC/tatE/tatB/secE/ftsY/secY/yhjG/secG/asmA/tatA",12
"BP","GO:0034613","cellular protein localization","20/1136","26/2754",0.000223740792746311,0.0304273218357966,0.0295956908988151,"ffh/secA/bamE/lolB/lolC/lolA/tatC/bamB/tatE/tatB/secE/ftsY/secY/yhjG/yidC/secG/asmA/tatA/bamA/skp",20
"BP","GO:0070727","cellular macromolecule localization","20/1136","26/2754",0.000223740792746311,0.0304273218357966,0.0295956908988151,"ffh/secA/bamE/lolB/lolC/lolA/tatC/bamB/tatE/tatB/secE/ftsY/secY/yhjG/yidC/secG/asmA/tatA/bamA/skp",20
"BP","GO:0008104","protein localization","29/1136","42/2754",0.000227352342484159,0.0304273218357966,0.0295956908988151,"napD/ffh/secA/secD/bamE/gspJ/lolB/gspI/gspF/gspE/lolC/lolA/tatC/bamB/tatE/tolA/tatB/secE/ftsY/secY/yhjG/yidC/secG/asmA/hofC/tatA/bamA/csgE/skp",29
"BP","GO:0015031","protein transport","22/1136","30/2754",0.000350245858491861,0.0389503086602399,0.03788572986288,"napD/ffh/secA/secD/gspJ/gspI/gspF/gspE/lolA/tatC/tatE/tolA/tatB/secE/ftsY/secY/yhjG/secG/asmA/hofC/tatA/csgE",22
"BP","GO:0046907","intracellular transport","13/1136","15/2754",0.000388047906951332,0.0389503086602399,0.03788572986288,"ffh/secA/tatC/tatE/tatB/secE/ftsY/secY/yhjG/secG/asmA/tatA/yebS",13
"CC","GO:1990904","ribonucleoprotein complex","38/1047","62/2506",0.00134814915663992,0.0470280276972954,0.0403641371329013,"rpsU/rplT/ffh/rpsT/rplI/rpsI/rpsP/rpsO/rpmF/rplD/rpmA/rplM/rpsB/rpsS/rplU/rpsJ/rpsK/rpsF/rplW/rplS/rpmI/rpmC/rplV/rplC/deaD/rplB/rpsM/rpsA/rplP/rnpA/rpsC/rpmG/rplQ/rpsN/lhr/rpsR/rpsQ/rbbA",38
"CC","GO:0044445","cytosolic part","44/1047","76/2506",0.00294850523056971,0.0470280276972954,0.0403641371329013,"nrdA/nrdB/hslV/rpsU/rplT/rpsT/rplI/rpsI/rpsP/rpsO/rpmF/rplD/rpmA/rplM/rpsB/rpsS/rplU/rpsJ/rpsK/rpsF/rplW/rplS/rpmI/rpmC/rplV/rplC/rplB/rpsM/rpsA/rplP/rpsC/rpmG/rplQ/rpsN/nrdF/rpsR/hscB/groL/groS/hscA/rpsQ/rbbA/clpX/nrdE",44
