"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1759071_s_at","pdeF","946968","cyclic di-GMP phosphodiesterase PdeF",0.210070258168143,10.3110500513007,1.08628964601427,0.312337749343456,0.342692400501104,-6.43768482209604
"2","1759074_at","yfbN","946748","uncharacterized protein YfbN",0.729700413590825,9.98603920336441,2.85656016578299,0.0237070612345949,0.0346139848131965,-3.98167456078834
"3","1759089_s_at","frc","946842","formyl-CoA transferase",0.531977981383072,10.1074891278871,4.09418892998339,0.00432745386878214,0.00952132022673473,-2.19260407765598
"4","1759091_at","speF","945297","ornithine decarboxylase, degradative",0.359264772709086,10.390791897579,2.07207739422672,0.0758278097253609,0.0936963246965284,-5.15506845513847
"5","1759095_s_at","nanS","948835","N-acetyl-9-O-acetylneuraminate esterase",0.580203692755159,10.4098875200461,3.97997785992033,0.0050165479610506,0.0106190451716501,-2.34983523470747
"6","1759100_s_at","yahB","945278","putative LysR-type DNA-binding transcriptional regulator YahB",0.224496418835106,9.5616571146324,0.590487337853015,0.572904581307815,0.599301703788327,-6.86258165711492
"7","1759102_s_at","rnc","947033","RNase III",-0.687757913404749,11.1686745446682,-5.71531464711035,0.000651735599430993,0.00291620563142625,-0.168654776212048
"8","1759109_s_at","yeiP","946674","elongation factor P family protein",-0.694682154070961,10.8292712028778,-5.7323226566082,0.0006401338344485,0.00288382709077056,-0.14944666079204
"9","1759113_s_at","ftsK","945102","cell division DNA translocase FtsK",-1.03486278290532,11.2844501916197,-7.58129611257293,0.00011049373685081,0.00135102738497033,1.71831773762408
"10","1759127_s_at","yghA","947478","NADP(+)-dependent aldehyde reductase",0.428560255834979,10.5470565379934,3.88074912908168,0.00571278928109668,0.0116511576058694,-2.48793791155592
"11","1759133_s_at","ycjW","945875","putative LacI-type DNA-binding transcriptional regulator YcjW",0.198897881439395,10.02786069383,1.08543548192314,0.312691286820471,0.342898194570643,-6.43858481940563
"12","1759134_s_at","mdtJ","946139","multidrug/spermidine efflux pump membrane subunit MdtJ",0.587357814404539,10.02008479206,3.18047754145717,0.0148892511838254,0.0240134215033436,-3.49816139419718
