"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1759071_s_at","pdeF","946968","cyclic di-GMP phosphodiesterase PdeF",0.817657773385156,10.3110500513007,4.22817195045499,0.003647822323427,0.0065311677330948,-1.98492241594836
"2","1759074_at","yfbN","946748","uncharacterized protein YfbN",1.11323652301506,9.98603920336441,4.35799000180199,0.00309923637146337,0.00585820891440377,-1.8113265159169
"3","1759089_s_at","frc","946842","formyl-CoA transferase",0.93667631433126,10.1074891278871,7.20881301730268,0.000152975646854777,0.00138617406316653,1.39211814158219
"4","1759091_at","speF","945297","ornithine decarboxylase, degradative",0.916108454252431,10.390791897579,5.28370094402088,0.0010410100502704,0.00309560232951416,-0.646609524122091
"5","1759095_s_at","nanS","948835","N-acetyl-9-O-acetylneuraminate esterase",0.628888413546846,10.4098875200461,4.3139366286886,0.00327454384245494,0.00608929575023573,-1.86995518544007
"6","1759100_s_at","yahB","945278","putative LysR-type DNA-binding transcriptional regulator YahB",1.32481400337268,9.5616571146324,3.48462526957512,0.00973800776548963,0.0137705161146486,-3.02525740331425
"7","1759102_s_at","rnc","947033","RNase III",-0.315371907889656,11.1686745446682,-2.62076182522692,0.0334934109676759,0.0401609907482405,-4.30820656505556
"8","1759109_s_at","yeiP","946674","elongation factor P family protein",-0.415658565379255,10.8292712028778,-3.4298981163886,0.0105013288191288,0.0146296327311667,-3.10465934006023
"9","1759113_s_at","ftsK","945102","cell division DNA translocase FtsK",-0.871988177280835,11.2844501916197,-6.38809384957228,0.000328958989012605,0.00181907492873672,0.58142976385449
"10","1759127_s_at","yghA","947478","NADP(+)-dependent aldehyde reductase",0.565812849655744,10.5470565379934,5.12361492608931,0.0012463156954166,0.00344236393947955,-0.838890883293941
"11","1759133_s_at","ycjW","945875","putative LacI-type DNA-binding transcriptional regulator YcjW",0.82094892290778,10.02786069383,4.48012358564116,0.00266477530169215,0.0052233641112865,-1.65030095973176
"12","1759134_s_at","mdtJ","946139","multidrug/spermidine efflux pump membrane subunit MdtJ",0.572464950001965,10.02008479206,3.09983432943424,0.0166976743317348,0.0218337944109899,-3.59013922188179
"13","1759135_s_at","higB","947591","ribosome-dependent mRNA interferase toxin HigB",0.677747555597175,10.0782034979616,4.33296551312968,0.00319752132575196,0.00598376726359017,-1.84459502450028
"14","1759136_s_at","kdgR","946129","DNA-binding transcriptional repressor KdgR",-0.377955266217166,10.8632428541595,-2.12613159162287,0.0699446551996361,0.0790945033620407,-5.04681444575138
"15","1759153_s_at","cbeA","946510","CP4-44 prophage; cytoskeleton bundling-enhancing antitoxin CbeA",1.21110914402995,9.81992306588747,5.00305144979283,0.00143058444777133,0.00366698197158258,-0.986197791616964
"16","1759161_s_at","hycB","948002","formate hydrogenlyase subunit HycB",1.14315920879778,8.95402573708737,3.81697693230551,0.0062152701200278,0.00966394572159587,-2.55095234122129
"17","1759164_s_at","grpE","947097","nucleotide exchange factor GrpE",-0.482499099804674,11.9117194799516,-3.62189342754722,0.00807384187407638,0.0118845825404599,-2.82766185431225
"18","1759171_s_at","plsY","947561","putative glycerol-3-phosphate acyltransferase",1.19753538373321,10.1668202196061,4.57769511558484,0.00236562776328038,0.00487693416227907,-1.52326753775163
"19","1759173_s_at","yfeK","946876","protein YfeK",1.37874620349034,9.56863667897376,3.08216018011062,0.0171243362268587,0.0223351506595265,-3.61641289959774
"20","1759174_s_at","ypdE","946848","broad-specificity exoaminopeptidase",0.75336466879831,9.84670271281144,4.17023008302695,0.00392625027714558,0.00688009590549853,-2.06320790426203
"21","1759176_s_at","tdcE","947623","2-ketobutyrate formate-lyase/pyruvate formate-lyase 4",0.549556515706678,12.9039299651783,2.24743262770164,0.0583477202392967,0.0668958879103146,-4.86758227566457
"22","1759178_s_at","fruB","946677","fructose-specific PTS multiphosphoryl transfer protein FruB",0.676066773740692,10.5478094944179,3.70183197526345,0.00724817403499269,0.0108907109500327,-2.71367328986509
"23","1759179_s_at","osmB","945866","osmotically-inducible lipoprotein OsmB",-0.840634664437886,11.1745391575014,-3.54545820872022,0.00895892165599669,0.0128714409883791,-2.93740724067195
"24","1759182_s_at","yhcN","947835","DUF1471 domain-containing stress-induced protein YhcN",0.642388294032196,10.9150241983561,4.67802091924494,0.00209606527027941,0.00461484022279743,-1.39414213346425
"25","1759189_s_at","ygcW","947232","putative deoxygluconate dehydrogenase",0.925017799709062,10.4795494129075,6.07385581862394,0.000449692054436278,0.00202308432013225,0.248874839128719
"26","1759193_s_at","kefG","947857","protein required for KefB activity",0.680209525468277,10.3204335751585,3.51780946275884,0.0093043677581876,0.0132846052442402,-2.97728083100898
"27","1759198_s_at","nanT","947740","N-acetylneuraminate:H(+) symporter",0.0809510376181404,10.7276160488557,0.400565164110336,0.700348052065178,0.716981498487794,-6.9351879778058
"28","1759201_s_at","ttdT","947576","L-tartrate:succinate antiporter",1.07082302748108,10.1175304939222,6.05990541535006,0.000456098772407049,0.00203744747649805,0.233810691182359
"29","1759202_s_at","mntP","946341","Mn(2(+)) exporter",0.966289179635309,10.0944939919878,6.63746877226737,0.000258726011831591,0.00167544336619105,0.836362020884375
"30","1759211_s_at","ecpR","944966","DNA-binding transcriptional dual regulator MatA",0.434394042260102,10.1895739489449,2.99321501204339,0.0194539071251565,0.0249483377533044,-3.74898006384025
"31","1759218_s_at","fruK","946676","1-phosphofructokinase",0.559489609853641,10.9024736531671,3.7336991768911,0.00694488105098245,0.0105038545305319,-2.66846286392279
